V (m/min),f (mm/rev),d (mm),np (vol. %),CF(N)
90,0.16,1.2,0.75,527.275
60,0.12,1.2,0.75,475.335
120,0.12,0.9,1.25,314.111
60,0.12,0.6,0.75,256.83
90,0.12,0.9,0.75,361.039
60,0.12,0.9,0.25,444.668
120,0.12,1.2,0.75,479.339
120,0.08,0.9,0.75,241.584
90,0.08,1.2,0.75,350.378
60,0.08,0.9,0.75,260.687
90,0.12,0.9,0.75,347.774
120,0.12,0.9,0.25,395.178
90,0.12,1.2,1.25,464.884
90,0.12,0.9,0.75,381.591
60,0.16,0.9,0.75,441.945
120,0.12,0.6,0.75,173.075
90,0.12,0.6,0.25,218.995
90,0.08,0.6,0.75,138.866
90,0.08,0.9,0.25,297.045
90,0.08,0.9,1.25,253.575
60,0.12,0.9,1.25,335.685
90,0.12,1.2,0.25,484.204
90,0.12,0.6,1.25,199.234
90,0.16,0.6,0.75,236.684
90,0.16,0.9,1.25,412.965
90,0.16,0.9,0.25,449.211
120,0.16,0.9,0.75,435.785
