A,B,C,D,Output
90,0.16,1.2,0.75,2.801496
60,0.12,1.2,0.75,2.445111
120,0.12,0.9,1.25,1.522642
60,0.12,0.6,0.75,2.307722
90,0.12,0.9,0.75,2.043274
60,0.12,0.9,0.25,2.537048
120,0.12,1.2,0.75,1.884192
120,0.08,0.9,0.75,1.619744
90,0.08,1.2,0.75,1.710648
60,0.08,0.9,0.75,1.884192
90,0.12,0.9,0.75,2.009185
120,0.12,0.9,0.25,1.917248
90,0.12,1.2,1.25,1.963733
90,0.12,0.9,0.75,1.974063
60,0.16,0.9,0.75,3.071109
120,0.12,0.6,0.75,1.961667
90,0.12,0.6,0.25,2.101122
90,0.08,0.6,0.75,1.664163
90,0.08,0.9,0.25,2.269501
90,0.08,0.9,1.25,1.577391
60,0.12,0.9,1.25,2.185828
90,0.12,1.2,0.25,2.180663
90,0.12,0.6,1.25,1.961667
90,0.16,0.6,0.75,2.743648
90,0.16,0.9,1.25,2.536015
90,0.16,0.9,0.25,2.835585
120,0.16,0.9,0.75,2.581467
