V (m/min),f (mm/rev),d (mm),np (vol. %),Ra (um)
90,0.16,1.2,0.75,2.712
60,0.12,1.2,0.75,2.367
120,0.12,0.9,1.25,1.474
60,0.12,0.6,0.75,2.234
90,0.12,0.9,0.75,1.978
60,0.12,0.9,0.25,2.456
120,0.12,1.2,0.75,1.823
120,0.08,0.9,0.75,1.568
90,0.08,1.2,0.75,1.656
60,0.08,0.9,0.75,1.824
90,0.12,0.9,0.75,1.945
120,0.12,0.9,0.25,1.856
90,0.12,1.2,1.25,1.901
90,0.12,0.9,0.75,1.911
60,0.16,0.9,0.75,2.973
120,0.12,0.6,0.75,1.899
90,0.12,0.6,0.25,2.034
90,0.08,0.6,0.75,1.611
90,0.08,0.9,0.25,2.197
90,0.08,0.9,1.25,1.527
60,0.12,0.9,1.25,2.116
90,0.12,1.2,0.25,2.111
90,0.12,0.6,1.25,1.899
90,0.16,0.6,0.75,2.656
90,0.16,0.9,1.25,2.455
90,0.16,0.9,0.25,2.745
120,0.16,0.9,0.75,2.499
